id,name,cue,email,entry_year
real-035,Instituto Privado Aula XXI,A-861M,a861.m@bue.edu.ar,2027
real-036,Instituto Privado Comunidad Filii Dei,A-894M,a894.m@bue.edu.ar,2027
real-037,Instituto Privado San Mateo,A-828M,a828.m@bue.edu.ar,2027
real-038,Nuestra Señora de la Misericordia,A-58M,a58.m@bue.edu.ar,2027
real-039,Instituto San Antonio de Padua,A-352M,a352.m@bue.edu.ar,2027
real-040,Instituto San José,A-422M,a422.m@bue.edu.ar,2027
real-041,Instituto San Pedro Nolasco,A-222M,a222.m@bue.edu.ar,2027
real-042,Instituto Santa Ana y San Joaquín,A-252M,a252.m@bue.edu.ar,2027
real-043,Instituto Santa Clara de Asís,A-308M,a308.m@bue.edu.ar,2027
real-044,Instituto Santa Cruz,A-496M,a496.m@bue.edu.ar,2027
real-045,Instituto Santa Felicitas de San Vicente de Paul,A-135M,a135.m@bue.edu.ar,2027
real-046,Instituto Santa María,A-76M,a76.m@bue.edu.ar,2027
real-047,Instituto Santa María de Luján,A-495M,a495.m@bue.edu.ar,2027
real-048,Instituto Santa María de Nazareth,A-318M,a318.m@bue.edu.ar,2027
real-049,Instituto Santísima Virgen Niña,A-77M,a77.m@bue.edu.ar,2027
real-050,Instituto William C. Morris,A-79M,a79.m@bue.edu.ar,2027
real-051,Jose Manuel Estrada,A-46M,a46.m@bue.edu.ar,2027
real-052,Nuestra Señora de la Paz,A-538M,a538.m@bue.edu.ar,2027
real-053,Nueva Escuela Argentina 2000,A-635M,a635.m@bue.edu.ar,2027
real-054,Profesional San José,A-451M,a451.m@bue.edu.ar,2027
real-055,San Vicente de Paul,A-418M,a418.m@bue.edu.ar,2027
real-056,San Cirano,A-266M,a266.m@bue.edu.ar,2027
real-057,San Cosme y San Damián,A-450M,a450.m@bue.edu.ar,2027
real-058,San Francisco de Sales,A-71M,a71.m@bue.edu.ar,2027
real-059,San Martín de Los Campos,A-977M,a977.m@bue.edu.ar,2027
real-060,San Rafael,A-517M,a517.m@bue.edu.ar,2027
real-061,San Vicente de Paul,A-209M,a209.m@bue.edu.ar,2027
real-062,Superior Porteño,A-80M,a80.m@bue.edu.ar,2027
real-063,Instituto Español Virgen del Pilar,A-251,a251.m@bue.edu.ar,2027
real-064,Nuestra Sra del Pilar,A-452M,a242.m@bue.edu.ar,2027
real-065,Madre del Pueblo,A-1473M,a1473.m@bue.edu.ar,2027
real-066,"Escuela Superior de Educación Artística en Artes Visuales ""Lola Mora"" DE 21",203033.0,dea_eba100_de21@bue.edu.ar,2027
real-067,"Escuela Superior de Educación Artística en Artes Visuales ""Rogelio Yrurtia"" DE 13",203032.0,dea_eba100_de13@bue.edu.ar,2027
real-068,"Escuela Superior de Educación Artística en Artes Visuales ""Manuel Belgrano"" DE 04",203031.0,dea_eba100_de4@bue.edu.ar,2027
real-069,Escuela Superior de Educación Artística en Teatro Nini Marshall DE 13,202875.0,dea_escuela_de_teatro@bue.edu.ar,2027
real-070,Esc. de Educ. Media Nº 1 DE 18 Caídos de Malvinas,202349.0,dem_reing1_de18@bue.edu.ar,2027
real-071,Esc. de Educ. Media Nº 1 DE 2,202407.0,dem_reing1_de2@bue.edu.ar,2027
real-072,Esc. de Educ. Media Nº 1 DE 5 Norberto Julio Morre Si,202347.0,dem_reing1_de5@bue.edu.ar,2027
real-073,Colegio N° 15  DE 2 Revolución de  Mayo,,dem_col15_de2@bue.edu.ar,2027
real-074,"Colegio N°14 DE 2 ""Juan Jose Paso""",,dem_col14_de2@bue.edu.ar,2027
real-075,Colegio Nº 07 DE 03 Juan Martín de Pueyrredon,201245.0,dem_col7_de3@bue.edu.ar,2027
real-076,Colegio Nº 11 DE 04 Hipólito Yrigoyen,201288.0,dem_col11_de4@bue.edu.ar,2027
real-077,Colegio Nº 12 DE 15 Reconquista,200985.0,dem_col12_de15@bue.edu.ar,2027
real-078,Esc. de Educación Media N° 1 DE 16,200350.0,dem_eem1_de16@bue.edu.ar,2027
real-079,Esc. de Comercio Nº 02 DE 1 Antonio Bermejo,,dem_ec2_de1@bue.edu.ar,2027
real-080,Esc. de Comercio Nº 04 DE 04 Baldomero Fernández Moreno,201524.0,dem_ec4_de4@bue.edu.ar,2027
real-081,Esc. de Comercio Nº 09 DE 11 José Ingenieros,201250.0,dem_ec9_de11@bue.edu.ar,2027
real-082,Esc. de Comercio Nº 10 DE 01 Islas Malvinas,201423.0,dem_ec10_de1@bue.edu.ar,2027
real-083,Esc. de Comercio Nº 25 DE 02 Santiago de Liniers,201422.0,dem_ec25_de2@bue.edu.ar,2027
real-084,Esc. de Comercio Nº 26 DE 01 Enrique de Vedia,200390.0,dem_ec26_de1@bue.edu.ar,2027
real-085,Esc. de Comercio Nº 27 DE 04 Antártida Argentina,201281.0,dem_ec27_de4@bue.edu.ar,2027
real-086,Esc. de Comercio Nº 28 DE 15 Abraham Lincoln,201446.0,dem_ec28_de15@bue.edu.ar,2027
real-087,Esc. de Comercio Nº 29 DE 07 Marina Mercante Argentina,201117.0,dem_ec29_de7@bue.edu.ar,2027
real-088,Esc. de Comercio Nº 36 DE 03 Isaac Halperin,201606.0,dem_ec36_de3@bue.edu.ar,2027
real-089,Esc. de Educación Media Nº 01 DE 03,202400.0,dem_reing1_de3@bue.edu.ar,2027
real-090,Esc. de Educación Media Nº 01 DE 20 Biblioteca del Congreso de la Nación,201062.0,dem_eem1_de20@bue.edu.ar,2027
real-091,Esc. de Educación Media Nº 02 DE 10 Luis Alberto Spinetta,202348.0,dem_reing2_de10@bue.edu.ar,2027
real-092,Esc. de Educación Media Nº 02 DE 17 Rumania,201336.0,dem_eem2_de17@bue.edu.ar,2027
real-093,Esc. de Educación Media Nº 04 DE 19 Homero Manzi,202301.0,dem_eem4_de19@bue.edu.ar,2027
real-094,Esc. de Educación Media Nº 06 DE 01 Padre Carlos Mugica,201457.0,dem_eem6_de1@bue.edu.ar,2027
real-095,Esc. de Educación Media Nº 07 DE 04 Escuela de la Ribera,201671.0,dem_eem7_de4@bue.edu.ar,2027
real-096,"Escuela de Educación Media N° 2 D.E. 19 ""Arturo Jauretche""",201783.0,dem_eem2_de19@bue.edu.ar,2027
real-097,Liceo Nº 07 DE 01 Domingo Faustino Sarmiento,201717.0,dem_lic7_de1@bue.edu.ar,2027
real-098,Esc. de Comercio 3 - Hipolito Vieytes,201267.0,dem_ec3_de7@bue.edu.ar,2027
real-099,"Escuela Normal Superior Nº 09 ""Domingo Faustino Sarmiento"" de 01",201177.0,"ens9.nmdireccion@bue.edu.ar
ens9_rectorado@bue.edu.ar",2027
real-100,Esc. Técnica Nº 01 DE 04 Ingeniero Otto Krause,200583.0,det_1_DE4@bue.edu.ar,2027
real-101,Esc. Técnica Nº 08 DE 13 Paula Albarracín de Sarmiento,200911.0,det_8_DE13@bue.edu.ar,2027
real-102,Esc. Técnica Nº 15 DE 05 Maipú,201694.0,det_15_DE5@bue.edu.ar,2027
real-103,Esc. Técnica Nº 18 DE 11 Jose Antonio Álvarez Condarco,201079.0,det_18_DE11@bue.edu.ar,2027
real-104,Esc. Técnica Nº 24 DE 17 Defensa de Buenos Aires,200903.0,det_24_DE17@bue.edu.ar,2027
real-105,Esc. Técnica Nº 26 DE 06 Confederación Suiza,200865.0,det_26_DE6@bue.edu.ar,2027
real-106,Esc. Técnica Nº 30 DE 02 Dr. Norberto Piñero,201448.0,det_30_DE2@bue.edu.ar,2027
real-107,Esc. Técnica Nº 32 DE 14 Gral. José de San Martin,200478.0,det_32_DE14@bue.edu.ar,2027
real-108,Esc. Técnica Nº 36 DE 15 Almirante Guillermo Brown,200724.0,det_36_DE15@bue.edu.ar,2027
real-109,Esc. Técnica de Jardíneria Cristóbal María Hicken DE 09,201318.0,det_hicken_DE9@bue.edu.ar,2027
real-110,Escuelas Técnicas Raggio DE 10,201247.0,det_2_DE10@bue.edu.ar,2027
real-111,ESEA en CERAMICA 1,203034,,2026
real-112,ESEA en CERAMICA FERNANDO ARRANZ,203035,,2026
real-113,ESEA en DANZAS 1 - PROF. NELLY RAMICONE,203028,,2026
real-114,ESEA en DANZAS 2 - JORGE DONN,203029,,2026
real-115,COLEGIO 13 - CNEL. TOMAS ESPORA,200079,,2026
real-116,COLEGIO 2 - DOMINGO F. SARMIENTO,201136.0,,2026
real-117,COLEGIO 8 - JULIO ROCA,201512,,2026
real-118,EEM 1 DE 14 - FEDERICO GARCIA LORCA,200152,,2026
real-119,EEM 1 DE 7 JULIETA LANTERI,202904,,2026
real-120,EEM 2 DE 16 AGUSTIN TOSCO,202275.0,,2026
real-121,EEM 3 DE 7 - OSVALDO PUGLIESE,202504.0,,2026
real-122,EEM 5 DE 10 - HEROES DE MALVINAS,200414,,2026
real-123,EEM 5 DE 15 - MONSEÑOR ENRIQUE ANGELELLI,200825,,2026
real-124,EEM 6 - D.E. 19,202905,,2026
real-125,EEM 3 - D.E. 10,202398.0,,2026
real-126,ESC. DE COMERCIO 19 - JUAN MONTALVO,200871,,2026
real-127,ESC. DE COM. Nº 01 JOAQUIN V. GONZALEZ DE 04,200623.0,,2026
real-128,ESC. DE COMERCIO 17 - STA.M DE LOS BS. AS.,200849,,2026
real-129,ESC. DE COMERCIO 20 - DR. J.A. GARCIA,200159,,2026
real-130,ESC. DE COMERCIO 21 - CAP. N. H. BOUCHARD,200487,,2026
real-131,ESC. DE COMERCIO 22 DE 6 JULIO CAO HEROE DE MALVINAS,201303.0,,2026
real-132,ESC. DE COMERCIO 24 - DR. VELEZ SARSFIELD,200494,,2026
real-133,ESC. DE COMERCIO 30 - DR. ESTEBAN AGUSTÍN GASCÓN,201231.0,,2026
real-134,ESC. DE COMERCIO 32 - JOSÉ LEÓN SUÁREZ,200930.0,,2026
real-135,ESC. DE COMERCIO 35 - L. MARECHAL,201137,,2026
real-136,ESC. DE COMERCIO 6 - AMERICA,200649,,2026
real-137,ESC. DE COMERCIO 7 - MANUEL BELGRANO,200500,,2026
real-138,ESTACION BUENOS AIRES,,,2026
real-139,LICEO 1 - J. FIGUEROA ALCORTA,200744,,2026
real-140,LICEO 10 - RICARDO ROJAS,200839,,2026
real-141,LICEO 11 - CORNELIO SAAVEDRA,200986,,2026
real-142,LICEO 3 - J.M. DE ESTRADA,201525,,2026
real-143,LICEO 9 - SANTIAGO DERQUI,200401.0,,2026
real-144,LICEO 8 - E. ECHEVERRIA,200944,,2026
real-145,E.N.S. 3 - BERNARDINO RIVADAVIA,200536.0,,2026
real-146,E.N.S. 5 - DON MARTÍN M. DE GUEMES,201328.0,,2026
real-147,E.N.S. 1 - EN L.VIVAS PTE R.S.PEÑA,200696.0,,2026
real-148,Arlene Fern,201811,,2026
real-149,Centro Educativo Buenos Aires,200428.0,,2026
real-150,Colegio de la Ciudad,202215.0,,2026
real-151,Colegio Esquiú,200976.0,,2026
real-152,Colegio San Francisco Coll,200785.0,,2026
real-153,Colegio San Miguel,200354.0,,2026
real-154,Cristo Maestro,200723,,2026
real-155,Esclavas del Sagrado Corazón de Jesús,200949.0,,2026
real-156,Escuela Miguel Hernández,201611,,2026
real-157,Galileo Galiei,200998.0,,2026
real-158,Insituto Privado Argentino Japonés,200685,,2026
real-159,Instituto Betania,200307.0,,2026
real-160,Instituto Cristiano Evangélico Devoto,201656.0,,2026
real-161,Instituto Cruz del Sur,203076.0,,2026
real-162,Instituto Educativo Ferrocarril Oeste,203046.0,,2026
real-163,Instituto La Inmaculada,201217.0,,2026
real-164,Instituto La Providencia,200633.0,,2026
real-165,Instituto Limerick,201895,,2026
real-166,Instituto Luján Porteño,201323.0,,2026
real-167,Instituto María Ana Mogas,201299.0,,2026
real-168,Instituto Medalla Milagrosa,200834,,2026
real-169,Instituto Nuestra Señora de Luján de Los Patriotas,200007.0,,2026
real-170,Instituto Nuestra Señora del Carmen,200560.0,,2026
real-171,Instituto Nuestra Señora del Carmen,200783.0,,2026
real-172,Instituto Nuevos Aires,200116.0,,2026
real-173,Instituto Parroquial Nuestra Señora de la Unidad,200209,,2026
real-174,Instituto Presbítero Manuel Alberti,201701.0,,2026
real-175,Instituto Sacratísimo Corazón de Jesús,201229.0,,2026
real-176,Instituto San Cristobal,201518,,2026
real-177,Instituto San José,201699.0,,2026
real-178,Instituto San José de Villa del Parque,200968.0,,2026
real-179,Instituto San Tarsicio,200957.0,,2026
real-180,Instituto Santa Rosa,201176.0,,2026
real-181,Instituto Sudamericano Modelo,201346,,2026
real-182,Marie Manoogian,200733.0,,2026
real-183,Nuestra señora de Huerto,200897,,2026
real-184,Nuestra Señora de las Gracias,200875,,2026
real-185,Nuestra Señora del Buen Consejo,200620.0,,2026
real-186,Nuevo Guido Spano,202944.0,,2026
real-187,Sagrada Familia,201004.0,,2026
real-188,San Juan Bosco La Nocturna,202826.0,,2026
real-189,San Martín de los Andes (Lugano),,,2026
real-190,ESC. TEC. N° 21 FRAGATA ESCUELA LIBERTAD,201527.0,,2026
real-191,ET 11 - MANUEL BELGRANO,200506,,2026
real-192,ET 16 - ESPAÑA,200939.0,,2026
real-193,ET 19 - ALEJANDRO VOLTA,201232.0,,2026
real-194,ET 2 - MAGNASCO,200808.0,,2026
real-195,ET 25 - TTE.FRAY LUIS BELTRAN,200840,,2026
real-196,ET 27 - HIPOLITO YRIGOYEN,201230.0,,2026
real-197,ET 28 - REP. FRANCESA,200622,,2026
real-198,ET 3 - M.S. DE THOMPSON,201051,,2026
real-199,ET 34 - ING. E. HERMITTE,201038.0,,2026
real-200,ET 35 - ING. E. LATZINA,200746,,2026
real-201,EEM 1  D.E. 21- FAVALORO,20290300.0,,2025
real-202,EEM 5 D.E. 21- JUAN MANUEL FANGIO,20028500.0,,2025
real-203,ESC DE COMERCIO 15 - CECILIA GRIERSON DE 15,20155300.0,,2025
real-204,COLEGIO 18 - DR. A. LARROQUE DE 18,20161600.0,,2025
real-205,EEM 2 - D.E. 14 ARGENTINO JUNIORS (DAR),20243500.0,,2025
real-206,EEM 6 D.E. 5,20250500.0,,2025
real-207,ESC. DE COMERCIO 31 - NACIONES UNIDAS DE 9,20095000.0,,2025
real-208,EEM 3 D.E. 4- REPUBLICA DE LA BOCA (DAR),20285000.0,,2025
real-209,EEM 2 D.E. 20 PAMPERO,20223900.0,,2025
real-210,COMERCIO 12 D.E. 21,20063700.0,,2025
real-211,ESLV - SOFIA E.B. DE SPANGENBERG DE 1,20070800.0,,2025
real-212,ES Educ. Art. Danza Aida V. Mastrazzi DE 1,20302700.0,,2025
real-213,ET 10 - FRAY LUIS BELTRAN-  DE 5,20121600.0,,2025
real-214,ET 7 - DOLORES LAVALLE DE LAVALLE - DE 5,20083800.0,,2025
real-215,ET 23 - CASAL CALVIÑO DE 13,20117000.0,,2025
real-216,ET 12 - LIBERTADOR GRAL JOSÉ DE SAN MARTIN - DE 1,20050900.0,,2025
real-217,POLITÉCNICA MANUEL BELGRANO - DE 4,20046900.0,,2025
real-218,ET 4 - REP. DEL LIBANO - DE 5,20145600.0,,2025
real-219,San Pablo Apóstol - DE 14,,,2025
real-220,Cristo Obrero DE 19,,,2025
real-221,Colegio Argentino Arabe Omar Bin Al Jattab,,,2025
real-222,Instituto Carlos Steeb 80% - DE 12,,,2025
real-223,Esteban Echeverria- DE 3,,,2025
real-224,Instituto Integral de Educación 80%- DE 6,,,2025
real-225,Saint Exupery - DE 8,,,2025
real-226,Escuela para el Hombre Nuevo- DE 12,,,2025
real-227,San Cayetano 100%- DE 18,,,2025
real-228,Belgrano Day School,,,2025
real-229,Instituto River Plate,,,2025
real-230,Inmaculada Concepción,,,2025
real-231,Parroquial Consagrado Mario F. Alsina,,,2025
real-232,Don Bosco- DE 3,,,2025
real-233,Colegio Los Robles- DE 3,,,2025
